iter	Passed	Remaining
283	4132	10417
284	4151	10415
285	4167	10404
286	4185	10397
287	4201	10388
288	4229	10406
289	4243	10390
290	4263	10386
291	4280	10379
292	4297	10368
293	4308	10345
294	4324	10333
295	4345	10336
296	4360	10322
297	4374	10304
298	4397	10309
299	4413	10298
300	4429	10287
301	4463	10316
302	4487	10322
303	4511	10328
304	4528	10319
305	4555	10332
306	4582	10343
307	4600	10336
308	4625	10342
309	4644	10338
310	4666	10338
311	4684	10330
312	4703	10323
313	4733	10340
314	4750	10331
315	4765	10315
316	4780	10299
317	4800	10295
318	4814	10278
319	4827	10258
320	4839	10237
321	4853	10219
322	4867	10201
323	4883	10188
324	4902	10182
325	4915	10162
326	4931	10150
327	4943	10127
328	4956	10108
329	4969	10089
330	4982	10069
331	4994	10048
332	5006	10028
333	5017	10005
334	5026	9978
335	5038	9956
336	5049	9934
337	5079	9949
338	5091	9928
339	5107	9913
340	5120	9894
341	5132	9874
342	5145	9855
343	5160	9841
344	5175	9826
345	5187	9805
346	5200	9786
347	5211	9764
348	5228	9752
349	5241	9733
350	5253	9713
351	5265	9693
352	5279	9676
353	5290	9653
354	5299	9628
355	5311	9608
356	5323	9587
357	5331	9561
358	5344	9543
359	5356	9522
360	5364	9494
361	5386	9492
362	5402	9480
363	5416	9464
364	5425	9439
365	5437	9418
366	5448	9397
367	5459	9376
368	5472	9357
369	5490	9348
370	5505	9333
371	5516	9312
372	5525	9287
373	5537	9269
374	5556	9261
375	5571	9245
376	5600	9254
377	5655	9305
378	5665	9282
379	5679	9266
380	5695	9253
381	5718	9251
382	5784	9318
383	5815	9329
384	5831	9316
385	5846	9300
386	5868	9295
387	5890	9290
388	5921	9300
389	5935	9283
390	5970	9299
391	5994	9296
392	6009	9282
393	6039	9288
394	6053	9272
395	6061	9245
396	6085	9242
397	6103	9231
398	6149	9263
399	6181	9272
400	6214	9283
401	6236	9277
402	6251	9261
403	6273	9254
404	6286	9236
405	6302	9220
406	6328	9221
407	6343	9204
408	6367	9200
409	6380	9181
410	6390	9158
411	6404	9140
412	6416	9120
413	6427	9098
414	6438	9076
415	6450	9055
416	6462	9035
417	6472	9011
418	6479	8985
419	6490	8962
420	6497	8936
421	6522	8933
422	6532	8910
423	6542	8887
424	6550	8862
425	6560	8840
426	6572	8820
427	6588	8805
428	6595	8778
429	6605	8755
430	6612	8729
431	6622	8707
432	6629	8680
433	6642	8662
434	6650	8638
435	6660	8616
436	6667	8590
437	6678	8569
438	6685	8542
439	6696	8522
440	6703	8496
441	6711	8473
442	6721	8451
443	6729	8426
444	6738	8404
445	6745	8378
446	6755	8358
447	6762	8332
448	6772	8310
449	6779	8285
450	6789	8265
451	6808	8254
452	6818	8233
453	6827	8210
454	6838	8190
455	6849	8171
456	6861	8152
457	6871	8131
458	6885	8115
459	6892	8091
460	6902	8070
461	6908	8044
462	6916	8022
463	6923	7997
464	6933	7977
465	6943	7956
466	6950	7932
467	6962	7914
468	6969	7890
469	6975	7865
470	6987	7847
471	6995	7825
472	7000	7800
473	7012	7781
474	7025	7765
475	7035	7744
476	7047	7727
477	7057	7706
478	7063	7683
479	7080	7670
480	7087	7647
481	7097	7627
482	7106	7606
483	7111	7582
484	7117	7557
485	7124	7534
486	7131	7511
487	7137	7489
488	7143	7465
489	7152	7444
490	7161	7423
491	7170	7403
492	7177	7381
493	7184	7358
494	7191	7336
495	7197	7313
496	7205	7292
497	7215	7273
498	7221	7250
499	7226	7226
500	7234	7205
501	7240	7182
502	7246	7160
503	7253	7138
504	7258	7115
505	7266	7094
506	7272	7071
507	7281	7052
508	7286	7029
509	7295	7009
510	7301	6986
511	7306	6964
512	7314	6943
513	7320	6921
514	7328	6901
515	7335	6880
516	7352	6869
517	7360	6848
518	7365	6826
519	7371	6804
520	7377	6783
521	7384	6761
522	7393	6742
523	7398	6721
524	7404	6699
525	7411	6678
526	7417	6657
527	7425	6637
528	7432	6618
529	7440	6597
530	7447	6577
531	7453	6557
532	7461	6537
533	7467	6516
534	7479	6500
535	7488	6482
536	7499	6465
537	7507	6447
538	7513	6426
539	7523	6408
540	7535	6393
541	7541	6372
542	7550	6354
543	7557	6334
544	7564	6315
545	7572	6296
546	7580	6277
547	7587	6258
548	7594	6238
549	7601	6219
550	7607	6199
551	7614	6179
552	7632	6169
553	7640	6151
554	7647	6131
555	7653	6112
556	7659	6091
557	7666	6072
558	7671	6052
559	7681	6035
560	7688	6016
561	7701	6001
562	7706	5981
563	7713	5963
564	7718	5942
565	7726	5924
566	7732	5905
567	7741	5888
568	7751	5871
569	7769	5861
570	7777	5843
571	7784	5825
572	7795	5809
573	7804	5791
574	7820	5780
575	7832	5765
576	7846	5751
577	7855	5735
578	7875	5726
579	7887	5711
580	7903	5699
581	7910	5681
582	7925	5668
583	7939	5655
584	7950	5639
585	7957	5621
586	7967	5605
587	7972	5586
588	7980	5568
589	7987	5550
590	7995	5533
591	8003	5515
592	8013	5499
593	8020	5481
594	8035	5469
595	8043	5451
596	8052	5435
597	8062	5419
598	8071	5403
599	8079	5386
600	8087	5368
601	8094	5351
602	8101	5333
603	8108	5316
604	8114	5297
605	8120	5279
606	8127	5261
607	8132	5243
608	8139	5225
609	8146	5208
610	8152	5190
611	8165	5176
612	8175	5161
613	8190	5148
614	8200	5133
615	8211	5118
616	8222	5103
617	8229	5086
618	8237	5070
619	8244	5053
620	8254	5037
621	8263	5021
622	8271	5005
623	8276	4987
624	8283	4970
625	8290	4952
626	8303	4939
627	8315	4925
628	8322	4908
629	8328	4891
630	8334	4874
631	8341	4857
632	8348	4840
633	8354	4823
634	8363	4807
635	8369	4789
636	8374	4772
637	8381	4755
638	8387	4738
639	8395	4722
640	8400	4705
641	8406	4687
642	8414	4671
643	8419	4654
644	8427	4638
645	8437	4623
646	8444	4607
647	8450	4590
648	8458	4574
649	8463	4557
650	8470	4540
651	8480	4526
652	8490	4511
653	8496	4495
654	8506	4480
655	8513	4464
656	8523	4449
657	8531	4434
658	8541	4419
659	8549	4404
660	8559	4389
661	8575	4378
662	8584	4363
663	8593	4348
664	8608	4336
665	8617	4321
666	8627	4307
667	8639	4293
668	8655	4282
669	8662	4266
670	8672	4252
671	8680	4236
672	8688	4221
673	8698	4207
674	8713	4195
675	8725	4181
676	8734	4167
677	8742	4152
678	8752	4137
679	8767	4125
680	8777	4111
681	8784	4096
682	8792	4080
683	8801	4066
684	8811	4051
685	8817	4036
686	8825	4020
687	8845	4011
688	8851	3995
689	8859	3980
690	8865	3964
691	8873	3949
692	8879	3933
693	8885	3917
694	8893	3902
695	8899	3886
696	8907	3872
697	8913	3856
698	8922	3842
699	8928	3826
700	8937	3811
701	8943	3796
702	8952	3782
703	8957	3766
704	8963	3750
705	8972	3736
706	8978	3720
707	8992	3708
708	9002	3694
709	9009	3679
710	9016	3665
711	9023	3649
712	9028	3634
713	9035	3619
714	9044	3605
715	9052	3590
716	9064	3577
717	9072	3563
718	9083	3550
719	9100	3538
720	9114	3526
721	9135	3517
722	9148	3504
723	9156	3490
724	9166	3476
725	9174	3462
726	9182	3448
727	9192	3434
728	9199	3419
729	9208	3405
730	9216	3391
731	9225	3377
732	9234	3363
733	9249	3351
734	9261	3339
735	9274	3326
736	9285	3313
737	9294	3299
738	9303	3285
739	9311	3271
740	9320	3257
741	9327	3243
742	9337	3229
743	9350	3217
744	9361	3204
745	9371	3190
746	9382	3177
747	9391	3163
748	9403	3151
749	9413	3137
750	9420	3123
751	9433	3110
752	9448	3099
753	9456	3085
754	9463	3071
755	9474	3057
756	9481	3043
757	9490	3030
758	9498	3015
759	9508	3002
760	9516	2988
761	9525	2975
762	9533	2961
763	9543	2947
764	9549	2933
765	9559	2920
766	9565	2905
767	9574	2892
768	9580	2878
769	9594	2865
770	9607	2853
771	9613	2839
772	9622	2825
773	9628	2811
774	9637	2798
775	9644	2784
776	9654	2770
777	9661	2756
778	9669	2743
779	9677	2729
780	9685	2715
781	9694	2702
782	9701	2688
783	9709	2675
784	9720	2662
785	9729	2649
786	9745	2637
787	9753	2624
788	9762	2610
789	9770	2597
790	9779	2584
791	9787	2570
792	9797	2557
793	9804	2543
794	9813	2530
795	9819	2516
796	9830	2503
797	9836	2490
798	9845	2476
799	9852	2463
800	9861	2450
801	9868	2436
802	9877	2423
803	9883	2409
804	9901	2398
805	9912	2385
806	9924	2373
807	9935	2360
808	9956	2350
809	9964	2337
810	9974	2324
811	9982	2311
812	9993	2298
813	10006	2286
814	10020	2274
815	10038	2263
816	10048	2250
817	10056	2237
818	10062	2223
819	10069	2210
820	10074	2196
821	10082	2183
822	10088	2169
823	10093	2155
824	10105	2143
825	10114	2130
826	10119	2116
827	10126	2103
828	10133	2090
829	10139	2076
830	10147	2063
831	10152	2050
832	10160	2036
833	10165	2023
834	10172	2010
835	10188	1998
836	10195	1985
837	10202	1972
838	10209	1959
839	10216	1946
840	10224	1933
841	10231	1919
842	10237	1906
843	10244	1893
844	10251	1880
845	10258	1867
846	10264	1854
847	10271	1841
848	10278	1828
849	10284	1814
850	10292	1802
851	10297	1788
852	10305	1775
853	10310	1762
854	10317	1749
855	10330	1737
856	10339	1725
857	10345	1712
858	10354	1699
859	10361	1686
860	10370	1674
861	10375	1661
862	10384	1648
863	10391	1635
864	10399	1623
865	10405	1610
866	10412	1597
867	10419	1584
868	10425	1571
869	10432	1558
870	10439	1546
871	10447	1533
872	10453	1520
873	10469	1509
874	10476	1496
875	10483	1483
876	10488	1471
877	10496	1458
878	10502	1445
879	10508	1432
880	10519	1420
881	10530	1408
882	10546	1397
883	10569	1386
884	10582	1375
885	10604	1364
886	10616	1352
887	10631	1340
888	10639	1328
889	10644	1315
890	10660	1304
891	10668	1291
892	10676	1279
893	10683	1266
894	10689	1254
895	10694	1241
896	10701	1228
897	10708	1216
898	10714	1203
899	10721	1191
900	10726	1178
901	10735	1166
902	10751	1154
903	10758	1142
904	10769	1130
905	10775	1117
906	10784	1105
907	10789	1093
908	10798	1080
909	10803	1068
910	10811	1056
911	10817	1043
912	10823	1031
913	10830	1019
914	10837	1006
915	10846	994
916	10853	982
917	10860	970
918	10866	957
919	10871	945
920	10879	933
921	10896	921
922	10906	909
923	10915	897
924	10922	885
925	10928	873
926	10934	861
927	10943	849
928	10948	836
929	10958	824
930	10965	812
931	10974	800
932	10984	788
933	10993	776
934	10999	764
935	11010	752
936	11016	740
937	11030	729
938	11039	717
939	11044	704
940	11052	693
941	11058	680
942	11070	669
943	11077	657
944	11085	645
945	11092	633
946	11099	621
947	11105	609
948	11111	597
949	11120	585
950	11126	573
951	11133	561
952	11140	549
953	11146	537
954	11155	525
955	11164	513
956	11178	502
957	11187	490
958	11198	478
959	11206	466
960	11216	455
961	11223	443
962	11232	431
963	11239	419
964	11249	408
965	11257	396
966	11266	384
967	11280	372
968	11286	361
969	11292	349
970	11299	337
971	11312	325
972	11319	314
973	11327	302
974	11333	290
975	11341	278
976	11348	267
977	11354	255
978	11360	243
979	11365	231
980	11371	220
981	11377	208
982	11382	196
983	11388	185
984	11394	173
985	11399	161
986	11406	150
987	11411	138
988	11416	126
989	11423	115
990	11428	103
991	11435	92
992	11447	80
993	11453	69
994	11459	57
995	11465	46
996	11471	34
997	11476	22
998	11482	11
999	11487	0
